z (m),T (°C)
-4.754435803126057,12.500345290987045
-8.073416741244955,13.147476048903282
-15.823847032401119,13.924032958402769
-15.587078406228102,14.63587679211063
-19.911621463495294,15.185937936339428
-74.46402742230333,15.66724143753963
-53.148447522649064,16.027207921630538
-114.9410908594759,16.286060224797033
-161.3090972788935,17.224399823775578
-173.39341448397983,17.742104430108565
-207.86070665809382,18.777513642774544
-220.53269268512082,19.327574787003346
-255.35140337139205,20.330627461773513
-268.5939282885326,20.848332068106505
-307.53753675518016,21.883741280772483
-335.12434596465766,22.541657551320657
-366.3047588288487,23.307428948188203
-393.1450083358343,24.019272781896063
-420.2200296763443,24.731116615603923
-452.5461143600189,25.442960449311784
-487.12974732112593,26.090091207228024
-534.6826986477777,26.866648116727507
-555.7372995184783,27.319639647268875
-599.2273074511272,28.225622708351604
-625.7185147708237,28.883538978899775
-659.7161896373087,29.649310375767325
-693.6356072259522,30.415081772634874
-722.3783882252598,31.072998043183045
-762.5644362796244,32.0436941800574
-777.4444076414509,32.52904224849458
-815.3766278861447,33.59680799905637
-830.5845405767758,34.049799529597735
-866.7876658427123,35.02049566647209
-891.049829454075,35.430345146485706
-913.7194305542284,36.31475718230456
-938.0281576707564,36.82167627600562
-972.0786089605663,37.673731773928665
-996.3907975889699,38.2690920712116
-1027.6568075118828,38.59820428523757
-1036.024381874031,39.26459488713941
-1055.0859348410995,39.56658924083365
-1077.1571637442503,40.19754172980198
-1104.6903488544963,40.87343385473672
-1135.5591851879917,41.621229397217704
-1166.7324259452384,42.3460158460839
-1198.9078179680025,43.012560526737616
-1216.603543723327,43.58850690128307
-1242.5297234624675,44.035027124245275
-1256.6554412996718,44.533317807840774
-1293.7042566041703,45.42635825376517
-1314.346053166587,46.02980768552207
-1341.759011836547,46.728169628440014
-1350.2974681529104,47.404960546094074
-1390.618550979182,48.157250052171705
-1406.3809602428187,48.67495465850469
-1444.524865999224,49.64565079537904
-1459.6664341919852,50.16335540171204
-1490.0210217663637,50.72959481488874
-1498.633868218575,51.32819076596127
-1512.188408272942,51.953750498613616
-1548.4797606183124,52.75187843337699
-1563.046702868773,53.23722650181416
-1603.6396705600778,54.30499225237595
-1620.6325884236248,54.79034032081313
-1658.3337755103912,55.79339299558329
-1673.918062372791,56.27874106402048
-1708.179667910129,57.217080662999024
-1725.4856148850417,57.702428731436186
-1760.8390836365631,58.70548140620636
-1777.7630484263118,59.255542550435166
-1812.336552975346,60.258595225205326
-1828.1772195168244,60.776299831538324
-1863.0238853001747,61.746995968412676
-1880.1733177194046,62.23234403684985
-1919.119143900441,63.36482286320326
-1942.0530721976465,63.963418814275784
-1975.2151842237863,64.78851053061899
-1988.0336413643236,65.24150206116035
-2026.570195860666,66.23376922329858
-2049.5785974428354,66.80755849531765
-2084.934334890685,67.63588586545043
-2117.742629421159,68.36930072442216
-2144.87045955448,68.99486045707452
-2190.1265611926488,70.09498274553214
-2205.945619888573,70.58033081396931
-2247.0193472737187,71.45395733715623
-2270.4228192379733,72.05255328822875
-2303.282336456459,72.87764500457195
-2329.0189260948196,73.50320473722431
-2363.927733198324,74.30133267198767
-2388.618150770026,74.97434866022056
-2414.399683820793,75.72502033940339
-2440.5300353047796,76.39803632763628
-2471.8029933377957,77.1487080068191
-2507.9601964190024,77.91447940368666
-2524.0883132996355,78.37825644685996
