X,Y,Z,formation
600518,5898961,-1371.61,"North Sea Supergroup, silty sandstone"
600518,5898961,-2641.4,"Ommelanden Formation, limestone"
600518,5898961,-2731.61,"Texel Formation, limestone"
600518,5898961,-2925.0750000000003,"Upper Holland Marl Member, marl"
600518,5898961,-3128.5350000000003,"Vlieland Claystone Formation, claystone"
600518,5898961,-3306.23,"Upper Slochteren Member, sandstone"
589322,5893060,-1293.267,"North Sea Supergroup, silty sandstone"
589322,5893060,-2769.267,"Ommelanden Formation, limestone"
589322,5893060,-2934.767,"Texel Formation, limestone"
589322,5893060,-3091.267,"Vlieland Claystone Formation, claystone"
589322,5893060,-3267.267,"Upper Slochteren Member, sandstone"
590901,5896137,-3425.6,"Upper Slochteren Member, sandstone"
590901,5896137,-3212.1,"Vlieland Claystone Formation, claystone"
590901,5896137,-2997.1,"Upper Holland Marl Member, marl"
590901,5896137,-1296.6,"North Sea Supergroup, silty sandstone"
590901,5896137,-2727.1,"Ommelanden Formation, limestone"
590901,5896137,-2813.6,"Texel Formation, limestone"
594008,5888565,-3035.032,"Vlieland Claystone Formation, claystone"
594008,5888565,-1218.677,"North Sea Supergroup, silty sandstone"
594008,5888565,-2648.677,"Ommelanden Formation, limestone"
594008,5888565,-2734.677,"Texel Formation, limestone"
594008,5888565,-2859.752,"Upper Holland Marl Member, marl"
594008,5888565,-3204.677,"Upper Slochteren Member, sandstone"
